seed,timestamp,best_epoch,duration_s,test_accuracy,test_f1,test_precision,test_recall,test_specificity,run_dir
1,20260526_115725,9,256.55761885643005,0.9349693251533743,0.9262865040334959,0.9596541786605237,0.8951612903105489,0.9683972911854583,arcfaultnet_single_20260526_115725
2,20260526_120146,22,398.433876991272,0.9429447852760736,0.9358178003827965,0.9854651162647461,0.8909329829055068,0.9884925201267147,arcfaultnet_single_20260526_120146
3,20260526_120829,26,442.22279167175293,0.9638036809815951,0.9607973371843932,0.9904109588905423,0.9329032257944141,0.9918128654854759,arcfaultnet_single_20260526_120829
4,20260527_113220,13,503.04032135009766,0.9564417177914111,0.9482884145103916,0.9789473684063316,0.9194915254107416,0.9848156182105768,arcfaultnet_single_20260527_113220
5,20260528_114322,27,425.99641132354736,0.9576687116564417,0.9540918113603265,0.9876033057715206,0.9227799227680465,0.9894490035053992,arcfaultnet_single_20260528_114322
42,20260526_112120,26,506.7544312477112,0.950920245398773,0.9479166616553498,0.9345314505656671,0.9616908850599513,0.9415807560029601,arcfaultnet_single_20260526_112120
