metric,key,n,mean,std,sem,ci_low,ci_high,ci_half,min,max,cv
Accuracy,test_accuracy,6,0.9511247443762781,0.010581117790510785,0.004319723249172795,0.9400205422569786,0.9622289464955777,0.01110420211929947,0.9349693251533743,0.9638036809815951,0.011124847558718069
F1 score,test_f1,6,0.9455330881877924,0.012524696436527892,0.00511318590879135,0.9323892253684217,0.958676951007163,0.013143862819370605,0.9262865040334959,0.9607973371843932,0.01324617466378962
Precision,test_precision,6,0.9727687297598885,0.02174749489326122,0.008878377612045485,0.9499461335404442,0.9955913259793328,0.022822596219444245,0.9345314505656671,0.9904109588905423,0.022356284929748126
Recall,test_recall,6,0.9204933053748682,0.025973072712480793,0.010603462532963895,0.893236237192781,0.9477503735569554,0.027257068182087212,0.8909329829055068,0.9616908850599513,0.0282164710604857
Specificity,test_specificity,6,0.9774246757527641,0.019467963048785637,0.007947762633480392,0.9569943014931904,0.9978550500123379,0.020430374259573735,0.9415807560029601,0.9918128654854759,0.019917609542435967
