,seed 1,seed 2,seed 3,seed 4,seed 5,seed 42
seed 1,1.0,0.08305647840531562,0.08558108558108558,0.07982775753560782,0.07947019867549669,0.08269677847891066
seed 2,0.08305647840531562,1.0,0.07768595041322314,0.08197809492200464,0.085219707057257,0.07911287653095002
seed 3,0.08558108558108558,0.07768595041322314,1.0,0.08090185676392574,0.08702900966988997,0.08666666666666667
seed 4,0.07982775753560782,0.08197809492200464,0.08090185676392574,1.0,0.09066577450652392,0.0812603648424544
seed 5,0.07947019867549669,0.085219707057257,0.08702900966988997,0.09066577450652392,1.0,0.07307439104674128
seed 42,0.08269677847891066,0.07911287653095002,0.08666666666666667,0.0812603648424544,0.07307439104674128,1.0
